patch_id,region_id,image_path,mask_path,non_background_ratio,classes_present,split
moscow_city_small_17_79233_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79233_40985.png,masks/patches_512/moscow_city_small_17_79233_40985.png,0.643166,"3,4",train
moscow_city_small_17_79234_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40993.png,masks/patches_512/moscow_city_small_17_79234_40993.png,0.58382,"2,3,4",train
moscow_city_small_17_79222_40977,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40977.png,masks/patches_512/moscow_city_small_17_79222_40977.png,0.705639,"2,3,4",train
moscow_city_small_17_79231_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40980.png,masks/patches_512/moscow_city_small_17_79231_40980.png,0.611858,"2,3,4",train
moscow_city_small_17_79234_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40979.png,masks/patches_512/moscow_city_small_17_79234_40979.png,0.657883,"2,3,4",train
moscow_city_small_17_79218_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40979.png,masks/patches_512/moscow_city_small_17_79218_40979.png,0.487507,"2,3,4",train
moscow_city_small_17_79218_40989,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40989.png,masks/patches_512/moscow_city_small_17_79218_40989.png,0.534306,"2,3,4",train
moscow_city_small_17_79231_40973,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40973.png,masks/patches_512/moscow_city_small_17_79231_40973.png,0.746536,"2,3,4",train
moscow_city_small_17_79236_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40964.png,masks/patches_512/moscow_city_small_17_79236_40964.png,0.799473,"2,3,4",train
moscow_city_small_17_79235_40987,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40987.png,masks/patches_512/moscow_city_small_17_79235_40987.png,0.667122,"2,3,4",train
moscow_city_small_17_79228_40992,moscow_city_small,images/patches_512/moscow_city_small_17_79228_40992.png,masks/patches_512/moscow_city_small_17_79228_40992.png,0.545227,"2,3,4",train
moscow_city_small_17_79230_40992,moscow_city_small,images/patches_512/moscow_city_small_17_79230_40992.png,masks/patches_512/moscow_city_small_17_79230_40992.png,0.530106,"2,3,4",train
moscow_city_small_17_79239_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40976.png,masks/patches_512/moscow_city_small_17_79239_40976.png,0.409428,"2,3,4",train
moscow_city_small_17_79232_40974,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40974.png,masks/patches_512/moscow_city_small_17_79232_40974.png,0.662373,"2,3,4",train
moscow_city_small_17_79226_40973,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40973.png,masks/patches_512/moscow_city_small_17_79226_40973.png,0.783092,"2,3,4",train
moscow_city_small_17_79236_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40979.png,masks/patches_512/moscow_city_small_17_79236_40979.png,0.637238,"2,3,4",train
moscow_city_small_17_79221_40970,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40970.png,masks/patches_512/moscow_city_small_17_79221_40970.png,0.629459,"2,3,4",train
moscow_city_small_17_79239_40974,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40974.png,masks/patches_512/moscow_city_small_17_79239_40974.png,0.484577,"2,3,4",train
moscow_city_small_17_79228_40967,moscow_city_small,images/patches_512/moscow_city_small_17_79228_40967.png,masks/patches_512/moscow_city_small_17_79228_40967.png,0.78093,"2,3,4",train
moscow_city_small_17_79231_40995,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40995.png,masks/patches_512/moscow_city_small_17_79231_40995.png,0.596306,"2,3,4",train
moscow_city_small_17_79220_40967,moscow_city_small,images/patches_512/moscow_city_small_17_79220_40967.png,masks/patches_512/moscow_city_small_17_79220_40967.png,0.596016,"2,3,4",train
moscow_city_small_17_79233_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79233_40976.png,masks/patches_512/moscow_city_small_17_79233_40976.png,0.754295,"1,2,3,4",train
moscow_city_small_17_79239_40965,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40965.png,masks/patches_512/moscow_city_small_17_79239_40965.png,0.578369,"2,3,4",train
moscow_city_small_17_79222_40966,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40966.png,masks/patches_512/moscow_city_small_17_79222_40966.png,0.737492,"2,3,4",train
moscow_city_small_17_79235_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40964.png,masks/patches_512/moscow_city_small_17_79235_40964.png,0.783142,"2,3,4",train
moscow_city_small_17_79221_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40978.png,masks/patches_512/moscow_city_small_17_79221_40978.png,0.69479,"2,3,4",train
moscow_city_small_17_79222_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40978.png,masks/patches_512/moscow_city_small_17_79222_40978.png,0.648705,"2,3,4",train
moscow_city_small_17_79232_40965,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40965.png,masks/patches_512/moscow_city_small_17_79232_40965.png,0.773968,"2,3,4",train
moscow_city_small_17_79224_40965,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40965.png,masks/patches_512/moscow_city_small_17_79224_40965.png,0.774467,"2,3,4",train
moscow_city_small_17_79237_40966,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40966.png,masks/patches_512/moscow_city_small_17_79237_40966.png,0.825985,"2,3,4",train
moscow_city_small_17_79231_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40981.png,masks/patches_512/moscow_city_small_17_79231_40981.png,0.605164,"2,3,4",train
moscow_city_small_17_79230_40990,moscow_city_small,images/patches_512/moscow_city_small_17_79230_40990.png,masks/patches_512/moscow_city_small_17_79230_40990.png,0.560726,"2,3,4",train
moscow_city_small_17_79225_40975,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40975.png,masks/patches_512/moscow_city_small_17_79225_40975.png,0.697769,"2,3,4",train
moscow_city_small_17_79233_40994,moscow_city_small,images/patches_512/moscow_city_small_17_79233_40994.png,masks/patches_512/moscow_city_small_17_79233_40994.png,0.540554,"2,3,4",train
moscow_city_small_17_79231_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40964.png,masks/patches_512/moscow_city_small_17_79231_40964.png,0.743557,"2,3,4",train
moscow_city_small_17_79222_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40980.png,masks/patches_512/moscow_city_small_17_79222_40980.png,0.656631,"2,3,4",train
moscow_city_small_17_79235_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40981.png,masks/patches_512/moscow_city_small_17_79235_40981.png,0.728691,"2,3,4",train
moscow_city_small_17_79235_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40978.png,masks/patches_512/moscow_city_small_17_79235_40978.png,0.714645,"1,2,3,4",train
moscow_city_small_17_79224_40974,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40974.png,masks/patches_512/moscow_city_small_17_79224_40974.png,0.700153,"2,3,4",train
moscow_city_small_17_79225_40972,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40972.png,masks/patches_512/moscow_city_small_17_79225_40972.png,0.839497,"2,3,4",train
moscow_city_small_17_79237_40977,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40977.png,masks/patches_512/moscow_city_small_17_79237_40977.png,0.704521,"1,2,3,4",train
moscow_city_small_17_79223_40971,moscow_city_small,images/patches_512/moscow_city_small_17_79223_40971.png,masks/patches_512/moscow_city_small_17_79223_40971.png,0.643471,"2,3,4",train
moscow_city_small_17_79220_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79220_40982.png,masks/patches_512/moscow_city_small_17_79220_40982.png,0.621796,"2,3,4",train
moscow_city_small_17_79218_40977,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40977.png,masks/patches_512/moscow_city_small_17_79218_40977.png,0.592785,"2,3,4",train
moscow_city_small_17_79227_40972,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40972.png,masks/patches_512/moscow_city_small_17_79227_40972.png,0.796558,"2,3,4",train
moscow_city_small_17_79227_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40982.png,masks/patches_512/moscow_city_small_17_79227_40982.png,0.799057,"1,2,3,4",train
moscow_city_small_17_79234_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40969.png,masks/patches_512/moscow_city_small_17_79234_40969.png,0.760204,"2,3,4",train
moscow_city_small_17_79237_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40969.png,masks/patches_512/moscow_city_small_17_79237_40969.png,0.790909,"2,3,4",train
moscow_city_small_17_79224_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40978.png,masks/patches_512/moscow_city_small_17_79224_40978.png,0.79776,"2,3,4",train
moscow_city_small_17_79227_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40968.png,masks/patches_512/moscow_city_small_17_79227_40968.png,0.793419,"2,3,4",train
moscow_city_small_17_79218_40973,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40973.png,masks/patches_512/moscow_city_small_17_79218_40973.png,0.415997,"2,3,4",train
moscow_city_small_17_79232_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40982.png,masks/patches_512/moscow_city_small_17_79232_40982.png,0.729969,"2,3,4",train
moscow_city_small_17_79229_40992,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40992.png,masks/patches_512/moscow_city_small_17_79229_40992.png,0.587391,"2,3,4",train
moscow_city_small_17_79222_40987,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40987.png,masks/patches_512/moscow_city_small_17_79222_40987.png,0.662479,"2,3,4",train
moscow_city_small_17_79226_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40976.png,masks/patches_512/moscow_city_small_17_79226_40976.png,0.679268,"2,3,4",train
moscow_city_small_17_79220_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79220_40968.png,masks/patches_512/moscow_city_small_17_79220_40968.png,0.629646,"2,3,4",train
moscow_city_small_17_79234_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40964.png,masks/patches_512/moscow_city_small_17_79234_40964.png,0.814667,"2,3,4",train
moscow_city_small_17_79238_40971,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40971.png,masks/patches_512/moscow_city_small_17_79238_40971.png,0.78846,"2,3,4",train
moscow_city_small_17_79221_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40979.png,masks/patches_512/moscow_city_small_17_79221_40979.png,0.65329,"3,4",train
moscow_city_small_17_79239_40995,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40995.png,masks/patches_512/moscow_city_small_17_79239_40995.png,0.338413,"2,3,4",train
moscow_city_small_17_79229_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40969.png,masks/patches_512/moscow_city_small_17_79229_40969.png,0.737888,"2,3,4",train
moscow_city_small_17_79218_40994,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40994.png,masks/patches_512/moscow_city_small_17_79218_40994.png,0.516575,"2,3,4",train
moscow_city_small_17_79223_40966,moscow_city_small,images/patches_512/moscow_city_small_17_79223_40966.png,masks/patches_512/moscow_city_small_17_79223_40966.png,0.787678,"2,3,4",train
moscow_city_small_17_79218_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40984.png,masks/patches_512/moscow_city_small_17_79218_40984.png,0.628777,"2,3,4",train
moscow_city_small_17_79236_40994,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40994.png,masks/patches_512/moscow_city_small_17_79236_40994.png,0.649792,"2,3,4",train
moscow_city_small_17_79228_40987,moscow_city_small,images/patches_512/moscow_city_small_17_79228_40987.png,masks/patches_512/moscow_city_small_17_79228_40987.png,0.692543,"2,3,4",train
moscow_city_small_17_79239_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40978.png,masks/patches_512/moscow_city_small_17_79239_40978.png,0.666847,"1,3,4",train
moscow_city_small_17_79219_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40993.png,masks/patches_512/moscow_city_small_17_79219_40993.png,0.498013,"2,3,4",train
moscow_city_small_17_79224_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40964.png,masks/patches_512/moscow_city_small_17_79224_40964.png,0.731411,"2,3,4",train
moscow_city_small_17_79237_40974,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40974.png,masks/patches_512/moscow_city_small_17_79237_40974.png,0.738731,"2,3,4",train
moscow_city_small_17_79221_40990,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40990.png,masks/patches_512/moscow_city_small_17_79221_40990.png,0.584949,"1,2,3,4",train
moscow_city_small_17_79232_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40969.png,masks/patches_512/moscow_city_small_17_79232_40969.png,0.817348,"2,3,4",train
moscow_city_small_17_79231_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79231_40979.png,masks/patches_512/moscow_city_small_17_79231_40979.png,0.7057,"1,2,3,4",train
moscow_city_small_17_79230_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79230_40981.png,masks/patches_512/moscow_city_small_17_79230_40981.png,0.530487,"2,3,4",train
moscow_city_small_17_79239_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40964.png,masks/patches_512/moscow_city_small_17_79239_40964.png,0.549191,"2,3,4",train
moscow_city_small_17_79234_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40985.png,masks/patches_512/moscow_city_small_17_79234_40985.png,0.69101,"3,4",train
moscow_city_small_17_79222_40964,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40964.png,masks/patches_512/moscow_city_small_17_79222_40964.png,0.653038,"2,3,4",train
moscow_city_small_17_79224_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40976.png,masks/patches_512/moscow_city_small_17_79224_40976.png,0.747639,"2,3,4",train
moscow_city_small_17_79224_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40968.png,masks/patches_512/moscow_city_small_17_79224_40968.png,0.70694,"2,3,4",train
moscow_city_small_17_79239_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40980.png,masks/patches_512/moscow_city_small_17_79239_40980.png,0.609356,"1,3,4",train
moscow_city_small_17_79233_40988,moscow_city_small,images/patches_512/moscow_city_small_17_79233_40988.png,masks/patches_512/moscow_city_small_17_79233_40988.png,0.711254,"2,3,4",train
moscow_city_small_17_79234_40965,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40965.png,masks/patches_512/moscow_city_small_17_79234_40965.png,0.812328,"2,3,4",train
moscow_city_small_17_79239_40991,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40991.png,masks/patches_512/moscow_city_small_17_79239_40991.png,0.35223,"2,3,4",train
moscow_city_small_17_79227_40987,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40987.png,masks/patches_512/moscow_city_small_17_79227_40987.png,0.778263,"2,3,4",train
moscow_city_small_17_79229_40975,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40975.png,masks/patches_512/moscow_city_small_17_79229_40975.png,0.817444,"2,3,4",train
moscow_city_small_17_79225_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40980.png,masks/patches_512/moscow_city_small_17_79225_40980.png,0.740921,"2,3,4",train
moscow_city_small_17_79227_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40978.png,masks/patches_512/moscow_city_small_17_79227_40978.png,0.705654,"2,3,4",train
moscow_city_small_17_79221_40966,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40966.png,masks/patches_512/moscow_city_small_17_79221_40966.png,0.655479,"2,3,4",train
moscow_city_small_17_79221_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40969.png,masks/patches_512/moscow_city_small_17_79221_40969.png,0.558075,"2,3,4",train
moscow_city_small_17_79237_40973,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40973.png,masks/patches_512/moscow_city_small_17_79237_40973.png,0.797585,"2,3,4",train
moscow_city_small_17_79218_40988,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40988.png,masks/patches_512/moscow_city_small_17_79218_40988.png,0.479942,"3,4",train
moscow_city_small_17_79225_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40985.png,masks/patches_512/moscow_city_small_17_79225_40985.png,0.835762,"1,2,3,4",train
moscow_city_small_17_79234_40983,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40983.png,masks/patches_512/moscow_city_small_17_79234_40983.png,0.67638,"2,3,4",train
moscow_city_small_17_79222_40988,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40988.png,masks/patches_512/moscow_city_small_17_79222_40988.png,0.656998,"1,2,3,4",train
moscow_city_small_17_79229_40980,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40980.png,masks/patches_512/moscow_city_small_17_79229_40980.png,0.677616,"1,2,3,4",train
moscow_city_small_17_79224_40975,moscow_city_small,images/patches_512/moscow_city_small_17_79224_40975.png,masks/patches_512/moscow_city_small_17_79224_40975.png,0.739937,"2,3,4",train
moscow_city_small_17_79230_40989,moscow_city_small,images/patches_512/moscow_city_small_17_79230_40989.png,masks/patches_512/moscow_city_small_17_79230_40989.png,0.597462,"2,3,4",train
moscow_city_small_17_79225_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79225_40968.png,masks/patches_512/moscow_city_small_17_79225_40968.png,0.724731,"2,3,4",train
moscow_city_small_17_79239_40967,moscow_city_small,images/patches_512/moscow_city_small_17_79239_40967.png,masks/patches_512/moscow_city_small_17_79239_40967.png,0.644569,"2,3,4",train
moscow_city_small_17_79218_40972,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40972.png,masks/patches_512/moscow_city_small_17_79218_40972.png,0.463108,"2,3,4",train
moscow_city_small_17_79236_40987,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40987.png,masks/patches_512/moscow_city_small_17_79236_40987.png,0.599159,"3,4",train
moscow_city_small_17_79220_40975,moscow_city_small,images/patches_512/moscow_city_small_17_79220_40975.png,masks/patches_512/moscow_city_small_17_79220_40975.png,0.709999,"2,3,4",train
moscow_city_small_17_79238_40967,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40967.png,masks/patches_512/moscow_city_small_17_79238_40967.png,0.792915,"2,3,4",train
moscow_city_small_17_79226_40974,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40974.png,masks/patches_512/moscow_city_small_17_79226_40974.png,0.702175,"2,3,4",train
moscow_city_small_17_79236_40983,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40983.png,masks/patches_512/moscow_city_small_17_79236_40983.png,0.705963,"2,3,4",train
moscow_city_small_17_79222_40972,moscow_city_small,images/patches_512/moscow_city_small_17_79222_40972.png,masks/patches_512/moscow_city_small_17_79222_40972.png,0.721851,"2,3,4",train
moscow_city_small_17_79235_40979,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40979.png,masks/patches_512/moscow_city_small_17_79235_40979.png,0.666859,"2,3,4",train
moscow_city_small_17_79234_40968,moscow_city_small,images/patches_512/moscow_city_small_17_79234_40968.png,masks/patches_512/moscow_city_small_17_79234_40968.png,0.763878,"2,3,4",train
moscow_city_small_17_79236_40991,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40991.png,masks/patches_512/moscow_city_small_17_79236_40991.png,0.611675,"2,3,4",train
moscow_city_small_17_79229_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40993.png,masks/patches_512/moscow_city_small_17_79229_40993.png,0.589928,"2,3,4",train
moscow_city_small_17_79220_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79220_40981.png,masks/patches_512/moscow_city_small_17_79220_40981.png,0.645607,"2,3,4",train
moscow_city_small_17_79238_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40985.png,masks/patches_512/moscow_city_small_17_79238_40985.png,0.663139,"2,3,4",train
moscow_city_small_17_79228_40990,moscow_city_small,images/patches_512/moscow_city_small_17_79228_40990.png,masks/patches_512/moscow_city_small_17_79228_40990.png,0.658482,"2,3,4",train
moscow_city_small_17_79223_40970,moscow_city_small,images/patches_512/moscow_city_small_17_79223_40970.png,masks/patches_512/moscow_city_small_17_79223_40970.png,0.583443,"2,3,4",train
moscow_city_small_17_79232_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40993.png,masks/patches_512/moscow_city_small_17_79232_40993.png,0.549793,"2,3,4",train
moscow_city_small_17_79223_40981,moscow_city_small,images/patches_512/moscow_city_small_17_79223_40981.png,masks/patches_512/moscow_city_small_17_79223_40981.png,0.735516,"2,3,4",train
moscow_city_small_17_79237_40991,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40991.png,masks/patches_512/moscow_city_small_17_79237_40991.png,0.540276,"3,4",train
moscow_city_small_17_79237_40986,moscow_city_small,images/patches_512/moscow_city_small_17_79237_40986.png,masks/patches_512/moscow_city_small_17_79237_40986.png,0.649078,"2,3,4",train
moscow_city_small_17_79227_40985,moscow_city_small,images/patches_512/moscow_city_small_17_79227_40985.png,masks/patches_512/moscow_city_small_17_79227_40985.png,0.943691,"1,2,3,4",train
moscow_city_small_17_79219_40969,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40969.png,masks/patches_512/moscow_city_small_17_79219_40969.png,0.573204,"2,3,4",train
moscow_city_small_17_79229_40976,moscow_city_small,images/patches_512/moscow_city_small_17_79229_40976.png,masks/patches_512/moscow_city_small_17_79229_40976.png,0.747471,"2,3,4",train
moscow_city_small_17_79218_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40993.png,masks/patches_512/moscow_city_small_17_79218_40993.png,0.521202,"2,3,4",train
moscow_city_small_17_79235_40971,moscow_city_small,images/patches_512/moscow_city_small_17_79235_40971.png,masks/patches_512/moscow_city_small_17_79235_40971.png,0.750404,"2,3,4",train
moscow_city_small_17_79230_40978,moscow_city_small,images/patches_512/moscow_city_small_17_79230_40978.png,masks/patches_512/moscow_city_small_17_79230_40978.png,0.799595,"1,2,3,4",train
moscow_city_small_17_79218_40991,moscow_city_small,images/patches_512/moscow_city_small_17_79218_40991.png,masks/patches_512/moscow_city_small_17_79218_40991.png,0.644203,"2,3,4",train
moscow_city_small_17_79232_40989,moscow_city_small,images/patches_512/moscow_city_small_17_79232_40989.png,masks/patches_512/moscow_city_small_17_79232_40989.png,0.678425,"2,3,4",train
moscow_city_small_17_79226_40982,moscow_city_small,images/patches_512/moscow_city_small_17_79226_40982.png,masks/patches_512/moscow_city_small_17_79226_40982.png,0.683315,"2,3,4",train
moscow_city_small_17_79236_40993,moscow_city_small,images/patches_512/moscow_city_small_17_79236_40993.png,masks/patches_512/moscow_city_small_17_79236_40993.png,0.576073,"3,4",train
moscow_city_small_17_79219_40984,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40984.png,masks/patches_512/moscow_city_small_17_79219_40984.png,0.650661,"2,3,4",train
moscow_city_small_17_79219_40983,moscow_city_small,images/patches_512/moscow_city_small_17_79219_40983.png,masks/patches_512/moscow_city_small_17_79219_40983.png,0.647568,"2,3,4",train
moscow_city_small_17_79221_40988,moscow_city_small,images/patches_512/moscow_city_small_17_79221_40988.png,masks/patches_512/moscow_city_small_17_79221_40988.png,0.650051,"2,3,4",train
moscow_city_small_17_79238_40970,moscow_city_small,images/patches_512/moscow_city_small_17_79238_40970.png,masks/patches_512/moscow_city_small_17_79238_40970.png,0.746349,"2,3,4",train
